"Адиль","Адиль"
"Абдумалик","Абдумалик"
"Жаныбек","Жаныбек"
"Хан","Хан"
"Айбек","Айбек"
"Анара","Анара"
"Адылбек","Адылбек"
"Айгуль","Айгуль"
"Айша","Айша"
"Алмазбек","Алмазбек"
"Анаркуль","Анаркуль"
"Сабырбек","Сабырбек"
"Cуйоркул","Cуйоркул"
"Абдукапар","Абдукапар"
"Акрам","Акрам"
"Аманбек","Аманбек"
"Абдиманап","Абдиманап"
"Абдилнасыр","Абдилнасыр"
"Айымкуль","Айымкуль"
"Алиджан","Алиджан"
"Алтынбек","Алтынбек"
"Аман","Аман"
"Анарбек","Анарбек"
"Абдивали","Абдивали"
"Аббас","Аббас"
"Айжан","Айжан"
"Абдулахат","Абдулахат"
"Азизбек","Азизбек"
"Алевтина","Алевтина"
"Абдыкасым","Абдыкасым"
"Айымкан","Айымкан"
"Акжигитов","Акжигитов"
"Алижан","Алижан"
"Алима","Алима"
"Алыспек","Алыспек"
"Аманат","Аманат"
"Айгуля","Айгуля"
"Cергей","Cергей"
"Алексей","Алексей"
"Bлaдиcлaв","Bлaдиcлaв"
"Алыйбубу","Алыйбубу"
"Адиб","Адиб"
"Айзада","Айзада"
"Абдурасул","Абдурасул"
"Абдыганы","Абдыганы"
"Абакир","Абакир"
"Bитaлий","Bитaлий"
"Азамат","Азамат"
"Айнагул","Айнагул"
"Айнура","Айнура"
"Айткуль","Айткуль"
"Акбола","Акбола"
"Алымбек","Алымбек"
"Айгул","Айгул"
"Али","Али"
"Paшид","Paшид"
"Айниса","Айниса"
"Александр","Александр"
"Алмакуль","Алмакуль"
"Айнаш","Айнаш"
"Айсалкын","Айсалкын"
"Акылбек","Акылбек"
"Алаа","Алаа"
"Анаркан","Анаркан"
"Арзыбек","Арзыбек"
"Аскарбек","Аскарбек"
"Андрей","Андрей"
"Владимер","Владимер"
"Анжум","Анжум"
"Анатолий","Анатолий"
"Базарбай","Базарбай"
"Бакыт","Бакыт"
"Бекнур","Бекнур"
"Брандта","Брандта"
"Василий","Василий"
"Гулайым","Гулайым"
"Гульнара","Гульнара"
"Даванбек","Даванбек"
"Дуньядар","Дуньядар"
"Залкар","Залкар"
"Иминжан","Иминжан"
"Камбарбек","Камбарбек"
"Камчыбек","Камчыбек"
"Качали","Качали"
"Лариса","Лариса"
"Любовь","Любовь"
"Майрамбек","Майрамбек"
"Метин","Метин"
"Мийзамидин","Мийзамидин"
"Мустафа","Мустафа"
"Наталья","Наталья"
"Нурали","Нурали"
"Нурбек","Нурбек"
